communityname,State,pop,perHoush,pct12-21,pct12-29,pct16-24,pct65up,medIncome,pctNotHSgrad,pctCollGrad,pctUnemploy,pctAllDivorc,persHomeless,violentPerPop
Bellmawrborough,NJ,12603,2.69,12.43,26.54,13.37,14.1,34887,32.12,8.25,5.28,9.68,0,81.02
EastNorritontownship,PA,13324,2.68,11.16,23.49,10.87,14.24,47026,16.07,27.19,2.03,7.1,0,81.17
Snellvillecity,GA,12084,3.07,15.66,25.59,12.4,7.7,46875,12.2,21.82,3.1,7,0,81.34
RiverEdgeborough,NJ,10603,2.6,10.01,20.17,9.22,17.23,52126,13.63,39.14,2.93,5.81,0,82.15
Logansportcity,IN,16812,2.45,14.06,25.74,11.81,15.98,20533,29.84,6.83,9.68,15.13,6,82.26
Barringtontown,RI,15849,2.83,12.8,20.91,10.13,12.62,53058,11.13,46.4,3.98,6.07,0,82.38
Westbrookcity,ME,16121,2.54,13.31,28.02,13.19,12.16,29833,21.1,13.37,4.97,11.7,0,82.54
Windsortown,CT,27817,2.83,12.09,23.81,10.98,12.39,50228,17.95,28.33,4.59,8.93,0,82.59
Lafayettecity,CA,23501,2.62,12.03,20.23,9.58,12.53,64806,4.1,58.87,2.24,9.08,1,82.93
Berwickborough,PA,10976,2.38,12.74,23.42,11.66,20.6,20423,33.09,6.3,9.13,11.83,0,82.95
Dyertown,IN,10923,3.2,15.1,24.31,10.92,7.83,44358,14.77,15.31,3.32,6.38,0,83.09
Bismarckcity,ND,49256,2.55,13.98,26.81,12.39,10.06,28223,16.58,26.39,4.41,8.79,2,83.27
LowerMorelandtownship,PA,11768,2.83,14.27,22.89,12.33,13.59,60925,8.97,40.45,2.72,3.91,0,83.56
Bethlehemtownship,PA,16425,2.87,13.3,23.35,10.97,10.28,42235,18.25,20.88,2.87,6.28,0,83.81
Princetonborough,NJ,12016,3.68,35.5,53.13,43.59,9.15,43092,11.6,66.02,3.21,5.92,0,83.89
EastGreenwichtown,RI,11865,2.67,13.36,21.94,11.05,10.43,50896,10.16,44.18,4.07,8.08,0,84.02
NorthHaventown,CT,22247,2.79,12.09,22,11.22,16.12,49148,17.51,26.35,3.69,6.43,0,84.35
Nashuacity,NH,79662,2.57,12.12,28.51,12.71,9.14,40505,17.31,28.84,6.03,10.67,2,84.54
Clarksburgcity,WV,18059,2.27,11.99,21.63,10.31,22.2,17884,28.67,14.11,11.12,12.07,0,84.57
Monroecity,WI,10241,2.32,12.28,24.1,10.79,15.8,26640,21.34,14.48,4.21,11.23,0,84.64
HasbrouckHeightsborough,NJ,11488,2.63,10.82,22.63,10.84,15.9,44672,20.42,22.04,4.58,6.5,0,84.88
HighlandParkborough,NJ,13279,2.3,9.13,26.85,11.48,12.06,39603,15.25,48.52,5.21,8.98,0,84.88
WestCaldwelltownship,NJ,10422,2.94,11.64,21.71,10.56,13.53,65920,11.35,41.55,2.03,4.75,0,84.96
Freeholdtownship,NJ,24710,3.01,14.56,27.32,13.55,8.5,58756,14.19,33.8,3.28,6.64,0,85.1
Livingstontownship,NJ,26609,3.03,12.59,21.76,11.25,12.56,74401,9.13,52.54,2.55,3.87,0,85.15
NorthTonawandacity,NY,34989,2.57,12.76,24.82,11.74,13.45,29576,20.21,15.16,5.64,8.45,0,85.17
Warrentownship,NJ,10830,3.06,12.83,21.65,10.96,8.92,72369,10.09,43.21,4.11,4.48,0,85.9
WestMilfordtownship,NJ,25430,3.03,13.47,25.27,11.47,5.91,52734,14.92,24.91,4.49,7.13,0,86.12
